Case ID,FG_massflow(kg/h),FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_massflow(kg/h),LA_temp(C)_i,WWT_flowrate(kg/h),WWB_flowrate(kg/h),RA_to_Reg_temp_i,Reb_duty(kJ/h),LA_cool_duty(kJ/h),WWT_cool_duty(kJ/h),WWT_cool_duty2(kJ/h),MEA_emission_ppm(mass_ratio),CO2_massflow_offgas(kg/h),MEA_emission(kg/h),FG_flowrate(Sm3/h),L/G (kg/kg)_i,L/G (kg/Sm3),Lean_loading(mol/mol)_i,Cap_co2(kg/h),Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_flowrate(kg/h),RA_temp_after_abs_o,Reb_duty(KJ/h),Cond_duty(kJ/h),SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,Co2_prod_flowrate(kg/h),Reg_bttm_temp,Reg_bttm_flowrate(kg/h),LA_temp_after_HE_,HE_left_min_apprch_i,HE_right_min_apprch,LMTD,MEA_mkp(kg/h),Abs_ht(m)_i,SLAD(MJ/kgco2)_o,FG_co2_cons(%mol)
Case#13,72100,0.0905,20,100000,30,55000,55000,106,52000000,859000,4160000,5510000,0.8869,1116,8.87E-07,57700,1.388,1.735,0.1022,8597,88.51,0.5002,107000,24.73,52000000,33100000,6.048,3.847,0.9861,8649,123,98000,32.37,7.642,17.01,11.71,25.71,24,0.099918576,9.05
Case#14,72100,0.0905,20,100000,40,55000,55000,103,44000000,132000,4750000,6050000,0.9613,1475,9.61E-07,57700,1.388,1.735,0.1191,8239,84.82,0.5005,106000,24.48,44000000,23000000,5.341,2.796,0.986,8289,122.9,97400,40.27,15.79,19.86,17.75,27.4,24,0.016021362,9.05
Case#15,72100,0.0905,20,100000,40,55000,55000,103,52000000,342000,4890000,6180000,1.1,1141,1.10E-06,57700,1.388,1.735,0.1032,8573,88.26,0.5002,106000,24.61,52000000,30200000,6.066,3.524,0.9861,8624,123,97300,40.85,16.24,20.04,18.07,31.61,24,0.039892686,9.05
Case#16,72100,0.0905,20,167000,30,55000,55000,103,20000000,2770000,2230000,3470000,0.1523,3735,1.52E-07,57700,2.313,2.891,0.3378,5978,61.54,0.5036,172000,31.03,20000000,6760000,3.346,1.13,0.9842,6015,115.3,166000,35.26,4.227,12.31,7.563,3.192,24,0.463365674,9.05
Case#17,72100,0.0905,20,167000,30,55000,55000,103,28000000,5530000,3110000,4470000,0.3502,1913,3.50E-07,57700,2.313,2.891,0.285,7800,80.3,0.5015,173000,31.85,28000000,8860000,3.59,1.136,0.9851,7842,118.3,166000,40.23,8.382,15.33,11.51,9.016,24,0.708974359,9.05
Case#18,72100,0.0905,20,167000,30,55000,55000,103,36000000,9870000,3510000,4910000,0.6253,343.8,6.25E-07,57700,2.313,2.891,0.2326,9369,96.46,0.4929,175000,35.25,36000000,11200000,3.842,1.194,0.9856,9431,120.4,165000,47.73,12.48,17.39,14.8,17.55,24,1.053474224,9.05
Case#19,72100,0.0905,20,167000,30,55000,55000,103,44000000,18300000,2690000,4060000,0.566,92,5.66E-07,57700,2.313,2.891,0.1904,9621,99.05,0.4578,176000,42.41,44000000,13900000,4.573,1.447,0.986,9686,121.5,166000,61.9,19.49,18.52,19,16.53,24,1.90208918,9.05
Case#20,72100,0.0905,20,167000,30,55000,55000,103,52000000,21200000,2360000,3690000,0.5519,52.74,5.52E-07,57700,2.313,2.891,0.1612,9661,99.46,0.4296,176000,44.6,52000000,20100000,5.383,2.081,0.9861,9732,122.1,166000,66.38,21.77,19.11,20.41,16.45,24,2.194389815,9.05
Case#21,72100,0.0905,20,167000,30,55000,55000,104.5,20000000,1010000,2400000,3670000,0.1788,3408,1.79E-07,57700,2.313,2.891,0.3284,6306,64.92,0.5032,172000,31.15,20000000,7930000,3.172,1.258,0.9844,6343,115.9,166000,31.89,0.7436,11.44,3.912,4.066,24,0.160164922,9.05
Case#22,72100,0.0905,20,167000,30,55000,55000,104.5,28000000,3680000,3230000,4610000,0.3933,1636,3.93E-07,57700,2.313,2.891,0.2768,8077,83.15,0.501,174000,32.04,28000000,10200000,3.467,1.268,0.9852,8126,118.7,165000,36.79,4.749,14.22,8.635,10.32,24,0.455614708,9.05
Case#23,72100,0.0905,20,167000,30,55000,55000,104.5,36000000,8790000,3400000,4800000,0.6245,258,6.25E-07,57700,2.313,2.891,0.2267,9455,97.34,0.4895,175000,36.51,36000000,12700000,3.807,1.344,0.9857,9523,120.6,165000,45.77,9.26,16.08,12.36,17.64,24,0.929666843,9.05
Case#24,72100,0.0905,20,167000,30,55000,55000,104.5,44000000,16800000,2650000,4010000,0.5638,86.71,5.64E-07,57700,2.313,2.891,0.1875,9627,99.11,0.455,176000,42.69,44000000,15600000,4.571,1.615,0.986,9691,121.6,166000,59.3,16.61,17.09,16.85,16.5,24,1.745091929,9.05
Case#25,72100,0.0905,20,167000,30,55000,55000,104.5,52000000,20200000,2350000,3680000,0.5517,51.96,5.52E-07,57700,2.313,2.891,0.1603,9661,99.47,0.4288,176000,44.65,52000000,21100000,5.382,2.188,0.9861,9729,122.1,166000,64.68,20.03,17.62,18.8,16.45,24,2.090880861,9.05
Case#26,72100,0.0905,20,167000,30,55000,55000,106,28000000,1590000,3350000,4720000,0.4396,1365,4.40E-07,57700,2.313,2.891,0.2686,8349,85.95,0.5004,174000,32.27,28000000,11900000,3.354,1.425,0.9852,8404,119.1,165000,32.9,0.6304,13.08,4.105,11.72,24,0.190441969,9.05
Case#27,72100,0.0905,20,167000,30,55000,55000,106,36000000,7530000,3270000,4670000,0.6145,205.3,6.15E-07,57700,2.313,2.891,0.2212,9508,97.89,0.4854,175000,37.77,36000000,14500000,3.786,1.521,0.9858,9582,120.7,165000,43.51,5.743,14.74,9.546,17.46,24,0.791964661,9.05
Case#28,72100,0.0905,20,167000,30,55000,55000,106,44000000,15000000,2610000,3970000,0.5618,81.86,5.62E-07,57700,2.313,2.891,0.1846,9631,99.16,0.4522,176000,42.94,44000000,17500000,4.568,1.811,0.986,9695,121.6,166000,56.21,13.27,15.65,14.42,16.48,24,1.557470668,9.05
Case#29,72100,0.0905,20,167000,30,55000,55000,106,52000000,18900000,2340000,3670000,0.5514,51.03,5.51E-07,57700,2.313,2.891,0.1593,9662,99.47,0.4278,176000,44.71,52000000,22400000,5.382,2.319,0.9861,9727,122.1,166000,62.58,17.87,16.14,16.99,16.46,24,1.956116746,9.05
Case#30,72100,0.0905,20,167000,40,55000,55000,103,28000000,97200,4390000,5720000,0.525,1905,5.25E-07,57700,2.313,2.891,0.2848,7808,80.39,0.5016,172000,31.74,28000000,8870000,3.586,1.135,0.9851,7853,118.4,164000,40.13,8.391,15.39,11.54,13.46,24,0.01244877,9.05
Case#31,72100,0.0905,20,167000,40,55000,55000,103,36000000,4390000,4760000,6080000,0.8896,347.1,8.90E-07,57700,2.313,2.891,0.2324,9366,96.43,0.4928,174000,35.24,36000000,11200000,3.844,1.195,0.9856,9431,120.4,164000,47.79,12.54,17.45,14.86,24.51,24,0.468716635,9.05
Case#32,72100,0.0905,20,167000,40,55000,55000,103,44000000,12700000,4090000,5470000,0.8598,102.6,8.60E-07,57700,2.313,2.891,0.1904,9611,98.94,0.4576,175000,42.4,44000000,14000000,4.578,1.452,0.986,9678,121.6,165000,61.98,19.57,18.56,19.06,24.46,24,1.32140256,9.05
Case#33,72100,0.0905,20,167000,40,55000,55000,103,52000000,15500000,3830000,5230000,0.8708,60.98,8.71E-07,57700,2.313,2.891,0.1613,9652,99.37,0.4296,175000,44.58,52000000,20200000,5.387,2.089,0.9861,9726,122.1,165000,66.4,21.82,19.14,20.45,25.19,24,1.605884791,9.05
Case#34,72100,0.0905,20,167000,40,55000,55000,104.5,36000000,3310000,4670000,6000000,0.8928,265.8,8.93E-07,57700,2.313,2.891,0.2267,9447,97.26,0.4893,174000,36.53,36000000,12700000,3.811,1.345,0.9857,9517,120.6,164000,45.85,9.327,16.12,12.42,24.72,24,0.350375781,9.05
Case#35,72100,0.0905,20,167000,40,55000,55000,104.5,44000000,11200000,4060000,5450000,0.8599,97.17,8.60E-07,57700,2.313,2.891,0.1876,9616,99,0.4549,175000,42.67,44000000,15600000,4.576,1.62,0.986,9683,121.6,165000,59.36,16.69,17.12,16.9,24.5,24,1.164725458,9.05
Case#36,72100,0.0905,20,167000,40,55000,55000,104.5,52000000,14500000,3830000,5220000,0.8713,60.14,8.71E-07,57700,2.313,2.891,0.1605,9653,99.38,0.4289,175000,44.63,52000000,21200000,5.387,2.195,0.9861,9724,122.2,165000,64.7,20.07,17.65,18.84,25.22,24,1.502123692,9.05
Case#37,72100,0.0905,20,167000,40,55000,55000,106,36000000,2040000,4560000,5900000,0.8861,216,8.86E-07,57700,2.313,2.891,0.2213,9497,97.78,0.4853,174000,37.77,36000000,14500000,3.791,1.522,0.9858,9574,120.8,164000,43.57,5.801,14.79,9.603,24.65,24,0.214804675,9.05
Case#38,72100,0.0905,20,167000,40,55000,55000,106,44000000,9380000,4030000,5420000,0.8604,92.14,8.60E-07,57700,2.313,2.891,0.1847,9621,99.05,0.4522,175000,42.92,44000000,17500000,4.573,1.815,0.986,9687,121.7,165000,56.26,13.34,15.68,14.48,24.56,24,0.974950629,9.05
Case#39,72100,0.0905,20,167000,40,55000,55000,106,52000000,13200000,3820000,5220000,0.872,59.15,8.72E-07,57700,2.313,2.891,0.1595,9654,99.39,0.4279,175000,44.68,52000000,22500000,5.386,2.326,0.9861,9721,122.2,165000,62.6,17.92,16.17,17.03,25.26,24,1.367308888,9.05
Case#40,72100,0.0905,20,167000,50,55000,55000,103,44000000,7050000,5280000,6550000,1.241,108.8,1.24E-06,57700,2.313,2.891,0.1905,9604,98.88,0.4574,173000,42.39,44000000,14000000,4.581,1.458,0.986,9668,121.6,164000,62.06,19.67,18.6,19.13,31.43,24,0.734069138,9.05
Case#41,72100,0.0905,20,167000,50,55000,55000,103,52000000,9740000,5080000,6380000,1.284,65.79,1.28E-06,57700,2.313,2.891,0.1615,9647,99.32,0.4297,174000,44.55,52000000,20200000,5.39,2.098,0.9861,9719,122.2,164000,66.42,21.87,19.18,20.5,33.25,24,1.009640303,9.05
Case#42,72100,0.0905,20,167000,50,55000,55000,104.5,44000000,5520000,5250000,6530000,1.259,106.4,1.26E-06,57700,2.313,2.891,0.1877,9607,98.9,0.4548,173000,42.65,44000000,15600000,4.58,1.625,0.986,9674,121.7,164000,59.43,16.78,17.17,16.97,28.9,24,0.574581035,9.05
Case#43,72100,0.0905,20,167000,50,55000,55000,104.5,52000000,8730000,5080000,6370000,1.324,63.66,1.32E-06,57700,2.313,2.891,0.1608,9650,99.34,0.429,174000,44.6,52000000,21300000,5.389,2.203,0.9861,9717,122.2,164000,64.73,20.13,17.69,18.89,28.53,24,0.904663212,9.05
Case#44,72100,0.0905,20,167000,50,55000,55000,106,44000000,3700000,5230000,6510000,1.31,100.6,1.31E-06,57700,2.313,2.891,0.185,9613,98.96,0.4522,173000,42.9,44000000,17500000,4.577,1.819,0.986,9679,121.7,164000,56.31,13.42,15.73,14.54,22.94,24,0.384895454,9.05
Case#45,72100,0.0905,20,167000,50,55000,55000,106,52000000,7490000,5070000,6370000,1.368,62.52,1.37E-06,57700,2.313,2.891,0.1598,9651,99.36,0.428,174000,44.65,52000000,22500000,5.388,2.332,0.9861,9715,122.2,164000,62.64,17.99,16.21,17.08,23.09,24,0.77608538,9.05
Case#46,72100,0.0905,20,233000,30,55000,55000,103,20000000,6560000,1110000,2000000,0.08191,3361,8.19E-08,57700,3.238,4.048,0.3733,6352,65.4,0.4992,240000,37.32,20000000,7170000,3.148,1.129,0.9836,6392,112.5,233000,39.02,1.69,9.543,4.537,0,24,1.032745592,9.05
Case#47,72100,0.0905,20,233000,30,55000,55000,103,28000000,10700000,1710000,2870000,0.1754,1802,1.75E-07,57700,3.238,4.048,0.3378,7912,81.45,0.4948,241000,38.76,28000000,8970000,3.539,1.133,0.9845,7977,115.3,233000,44.44,5.674,12.3,8.562,0.4583,24,1.352376138,9.05
Case#48,72100,0.0905,20,233000,30,55000,55000,103,36000000,17300000,1750000,2940000,0.2584,610.4,2.58E-07,57700,3.238,4.048,0.3004,9103,93.72,0.4811,242000,42.1,36000000,10400000,3.955,1.139,0.9851,9172,117.5,233000,52.79,10.69,14.54,12.52,2.814,24,1.900472372,9.05
Case#49,72100,0.0905,20,233000,30,55000,55000,103,44000000,26400000,1110000,2060000,0.2313,214.7,2.31E-07,57700,3.238,4.048,0.2604,9499,97.79,0.4489,243000,46.23,44000000,11400000,4.632,1.201,0.9855,9588,119.4,233000,63.82,17.59,16.37,16.97,3.861,24,2.77923992,9.05
Case#50,72100,0.0905,20,233000,30,55000,55000,103,52000000,31200000,557000,1140000,0.1856,81.04,1.86E-07,57700,3.238,4.048,0.212,9632,99.17,0.4032,243000,48.9,52000000,16400000,5.399,1.702,0.9858,9700,120.9,233000,69.1,20.2,17.95,19.05,4.328,24,3.239202658,9.05
Case#51,72100,0.0905,20,233000,30,55000,55000,104.5,28000000,8880000,1820000,3020000,0.2071,1426,2.07E-07,57700,3.238,4.048,0.3284,8288,85.32,0.4928,241000,39.32,28000000,10500000,3.378,1.261,0.9846,8352,115.9,233000,41.94,2.619,11.42,5.976,0.8465,24,1.071428571,9.05
Case#52,72100,0.0905,20,233000,30,55000,55000,104.5,36000000,16400000,1610000,2760000,0.257,471.1,2.57E-07,57700,3.238,4.048,0.2917,9242,95.15,0.4752,242000,43.17,36000000,11800000,3.895,1.271,0.9852,9317,118,233000,51.53,8.354,13.48,10.71,3.113,24,1.774507682,9.05
Case#53,72100,0.0905,20,233000,30,55000,55000,104.5,44000000,25400000,1020000,1910000,0.225,185.1,2.25E-07,57700,3.238,4.048,0.2536,9528,98.09,0.4426,243000,46.72,44000000,12700000,4.618,1.332,0.9855,9606,119.6,233000,62.54,15.82,15.13,15.47,3.922,24,2.665827036,9.05
Case#54,72100,0.0905,20,233000,30,55000,55000,104.5,52000000,30100000,535000,1100000,0.1836,77.57,1.84E-07,57700,3.238,4.048,0.2097,9636,99.2,0.4009,243000,49,52000000,17600000,5.397,1.83,0.9858,9704,121,233000,67.64,18.65,16.51,17.56,4.31,24,3.123702781,9.05
Case#55,72100,0.0905,20,233000,30,55000,55000,106,36000000,15300000,1470000,2560000,0.2524,368.8,2.52E-07,57700,3.238,4.048,0.283,9344,96.2,0.4684,243000,44.17,36000000,13400000,3.853,1.428,0.9853,9424,118.4,233000,50.02,5.841,12.4,8.714,3.297,24,1.637414384,9.05
Case#56,72100,0.0905,20,233000,30,55000,55000,106,44000000,24100000,933000,1780000,0.2185,160.3,2.19E-07,57700,3.238,4.048,0.2467,9553,98.35,0.4363,243000,47.16,44000000,14300000,4.606,1.492,0.9856,9625,119.9,233000,60.86,13.7,13.87,13.78,4.024,24,2.522767717,9.05
Case#57,72100,0.0905,20,233000,30,55000,55000,106,52000000,28800000,515000,1060000,0.1815,74.52,1.82E-07,57700,3.238,4.048,0.2076,9639,99.23,0.3989,243000,49.08,52000000,18900000,5.395,1.962,0.9858,9707,121.1,233000,66.14,17.06,15.07,16.04,4.316,24,2.987861811,9.05
Case#58,72100,0.0905,20,233000,40,55000,55000,103,28000000,3420000,3650000,5020000,0.3664,1806,3.66E-07,57700,3.238,4.048,0.3378,7907,81.41,0.4946,240000,38.81,28000000,8950000,3.541,1.132,0.9845,7969,115.3,232000,44.55,5.733,12.34,8.618,0.2042,24,0.43252814,9.05
Case#59,72100,0.0905,20,233000,40,55000,55000,103,36000000,10100000,3700000,5090000,0.5149,648.8,5.15E-07,57700,3.238,4.048,0.3003,9064,93.32,0.4802,241000,42.24,36000000,10300000,3.972,1.139,0.9851,9134,117.6,232000,53.12,10.88,14.58,12.64,4.29,24,1.114298323,9.05
Case#60,72100,0.0905,20,233000,40,55000,55000,103,44000000,19000000,3180000,4580000,0.5365,250.5,5.37E-07,57700,3.238,4.048,0.2593,9463,97.42,0.4471,242000,46.35,44000000,11400000,4.65,1.207,0.9855,9532,119.4,232000,64.12,17.77,16.43,17.09,6.222,24,2.00781993,9.05
Case#61,72100,0.0905,20,233000,40,55000,55000,103,52000000,23500000,2730000,4100000,0.5483,105.4,5.48E-07,57700,3.238,4.048,0.2118,9608,98.92,0.4025,242000,48.91,52000000,16500000,5.412,1.714,0.9858,9674,121,233000,69.16,20.24,17.98,19.09,7.792,24,2.445878435,9.05
Case#62,72100,0.0905,20,233000,40,55000,55000,104.5,28000000,1580000,3750000,5120000,0.4156,1444,4.16E-07,57700,3.238,4.048,0.3284,8269,85.13,0.4925,240000,39.38,28000000,10400000,3.386,1.26,0.9846,8337,116,232000,42.07,2.693,11.46,6.054,0.8675,24,0.1910751,9.05
Case#63,72100,0.0905,20,233000,40,55000,55000,104.5,36000000,9120000,3600000,4990000,0.5291,511.5,5.29E-07,57700,3.238,4.048,0.2917,9202,94.73,0.4742,241000,43.3,36000000,11700000,3.912,1.27,0.9852,9273,118,232000,51.86,8.564,13.52,10.85,4.165,24,0.991088894,9.05
Case#64,72100,0.0905,20,233000,40,55000,55000,104.5,44000000,17900000,3120000,4510000,0.5418,221.1,5.42E-07,57700,3.238,4.048,0.2533,9492,97.72,0.4417,242000,46.77,44000000,12700000,4.635,1.335,0.9855,9570,119.7,232000,62.75,15.98,15.17,15.57,5.861,24,1.885798567,9.05
Case#65,72100,0.0905,20,233000,40,55000,55000,104.5,52000000,22300000,2710000,4080000,0.5522,100.2,5.52E-07,57700,3.238,4.048,0.2096,9613,98.97,0.4003,242000,49,52000000,17700000,5.409,1.842,0.9858,9678,121,233000,67.69,18.69,16.54,17.59,7.342,24,2.319775304,9.05
Case#66,72100,0.0905,20,233000,40,55000,55000,106,36000000,7950000,3480000,4870000,0.5362,412.9,5.36E-07,57700,3.238,4.048,0.283,9300,95.75,0.4675,241000,44.27,36000000,13300000,3.871,1.427,0.9853,9379,118.4,232000,50.32,6.05,12.44,8.863,4.024,24,0.85483871,9.05
Case#67,72100,0.0905,20,233000,40,55000,55000,106,44000000,16600000,3050000,4440000,0.5458,194.2,5.46E-07,57700,3.238,4.048,0.2466,9519,98,0.4355,242000,47.19,44000000,14200000,4.622,1.494,0.9856,9589,119.9,232000,61.07,13.88,13.9,13.89,5.588,24,1.74388066,9.05
Case#68,72100,0.0905,20,233000,40,55000,55000,106,52000000,21100000,2690000,4060000,0.5509,98.94,5.51E-07,57700,3.238,4.048,0.2075,9614,98.98,0.3983,242000,49.09,52000000,19000000,5.409,1.974,0.9858,9682,121.1,233000,66.19,17.1,15.09,16.08,7.205,24,2.194716039,9.05
Case#69,72100,0.0905,20,233000,50,55000,55000,103,36000000,2700000,5290000,6560000,0.8641,680.7,8.64E-07,57700,3.238,4.048,0.3002,9033,92.99,0.4793,239000,42.36,36000000,10300000,3.986,1.137,0.9851,9099,117.6,230000,53.46,11.1,14.64,12.79,6.192,24,0.298904019,9.05
Case#70,72100,0.0905,20,233000,50,55000,55000,103,44000000,11400000,4940000,6240000,0.9532,282.5,9.53E-07,57700,3.238,4.048,0.2587,9431,97.09,0.4458,240000,46.42,44000000,11400000,4.666,1.214,0.9855,9497,119.5,231000,64.35,17.93,16.5,17.2,9.377,24,1.208779557,9.05
Case#71,72100,0.0905,20,233000,50,55000,55000,103,52000000,15600000,4630000,5970000,1.044,126.5,1.04E-06,57700,3.238,4.048,0.2116,9587,98.7,0.4019,241000,48.91,52000000,16600000,5.424,1.729,0.9858,9651,121,231000,69.22,20.31,18.03,19.14,12.43,24,1.627203505,9.05
Case#72,72100,0.0905,20,233000,50,55000,55000,104.5,36000000,1710000,5220000,6490000,0.8895,555.5,8.90E-07,57700,3.238,4.048,0.2917,9158,94.28,0.4734,240000,43.39,36000000,11600000,3.931,1.269,0.9852,9234,118.1,230000,52.17,8.778,13.58,11,6.112,24,0.186721992,9.05
Case#73,72100,0.0905,20,233000,50,55000,55000,104.5,44000000,10300000,4890000,6200000,0.9676,256.1,9.68E-07,57700,3.238,4.048,0.2531,9457,97.36,0.4407,240000,46.8,44000000,12700000,4.653,1.34,0.9855,9538,119.7,231000,62.97,16.16,15.22,15.69,8.941,24,1.089140319,9.05
Case#74,72100,0.0905,20,233000,50,55000,55000,104.5,52000000,14400000,4620000,5960000,1.052,122.3,1.05E-06,57700,3.238,4.048,0.2094,9591,98.74,0.3998,241000,49,52000000,17800000,5.422,1.856,0.9858,9656,121.1,231000,67.75,18.75,16.59,17.65,11.78,24,1.50140757,9.05
Case#75,72100,0.0905,20,233000,50,55000,55000,106,36000000,511000,5140000,6420000,0.9138,457.7,9.14E-07,57700,3.238,4.048,0.2831,9256,95.29,0.4667,240000,44.34,36000000,13200000,3.89,1.426,0.9853,9337,118.5,230000,50.62,6.277,12.49,9.03,5.932,24,0.055207433,9.05
Case#76,72100,0.0905,20,233000,50,55000,55000,106,44000000,9010000,4850000,6160000,0.9855,227.7,9.86E-07,57700,3.238,4.048,0.2465,9486,97.66,0.4347,240000,47.21,44000000,14200000,4.639,1.496,0.9856,9556,120,231000,61.29,14.09,13.95,14.02,8.569,24,0.949820789,9.05
Case#77,72100,0.0905,20,233000,50,55000,55000,106,52000000,13200000,4610000,5950000,1.062,117.9,1.06E-06,57700,3.238,4.048,0.2074,9595,98.79,0.3978,241000,49.08,52000000,19100000,5.419,1.987,0.9858,9660,121.1,231000,66.24,17.16,15.14,16.13,11.1,24,1.375716519,9.05
Case#78,72100,0.0905,20,300000,40,55000,55000,103,20000000,3030000,2070000,3290000,0.1184,3237,1.18E-07,57700,4.163,5.204,0.3924,6476,66.67,0.4923,306000,42.29,20000000,7330000,3.088,1.132,0.9829,6536,110.8,299000,43.21,0.9141,7.809,3.214,0,24,0.467881408,9.05
Case#79,72100,0.0905,20,300000,40,55000,55000,103,28000000,8460000,2410000,3720000,0.192,1969,1.92E-07,57700,4.163,5.204,0.3656,7745,79.73,0.4851,307000,43.88,28000000,8780000,3.615,1.134,0.9838,7815,113.2,299000,48.84,4.952,10.23,7.273,0.2045,24,1.092317624,9.05
Case#80,72100,0.0905,20,300000,40,55000,55000,103,36000000,15300000,2440000,3760000,0.2552,1004,2.55E-07,57700,4.163,5.204,0.3376,8709,89.66,0.472,308000,46.09,36000000,9920000,4.134,1.138,0.9845,8792,115.3,299000,55.73,9.638,12.33,10.93,2.067,24,1.756803307,9.05
Case#81,72100,0.0905,20,300000,40,55000,55000,103,44000000,23500000,2110000,3390000,0.2742,461.4,2.74E-07,57700,4.163,5.204,0.3058,9252,95.25,0.4485,309000,48.64,44000000,10900000,4.756,1.174,0.9849,9323,117.3,299000,63.72,15.08,14.25,14.66,3.345,24,2.539991353,9.05
Case#82,72100,0.0905,20,300000,40,55000,55000,103,52000000,29900000,1570000,2710000,0.2604,165.9,2.60E-07,57700,4.163,5.204,0.2587,9547,98.29,0.406,309000,51.15,52000000,14300000,5.447,1.493,0.9853,9621,119.4,300000,69.39,18.25,16.43,17.32,4.174,24,3.131873887,9.05
